"","markov_cycle",".strategy_names","value_names","value","id"
"1.121",55,"I","utility",32.7210614755399,"1.121"
"1.122",56,"I","utility",27.2606820195611,"1.122"
"1.123",57,"I","utility",22.2994533959631,"1.123"
"1.124",58,"I","utility",17.9238938620688,"1.124"
"1.125",59,"I","utility",14.0639947460398,"1.125"
"1.126",60,"I","utility",10.7428989713856,"1.126"
"1.127",61,"I","utility",8.039178387409,"1.127"
"1.128",62,"I","utility",5.8623182849477,"1.128"
"1.129",63,"I","utility",4.18337037724634,"1.129"
"1.130",64,"I","utility",2.88166366246672,"1.130"
"1.131",65,"I","utility",1.91273118982927,"1.131"
"1.132",66,"I","utility",1.23014302859137,"1.132"
"2.1",1,"I","cost",0,"2.1"
"2.2",2,"I","cost",2638.4270573428,"2.2"
"2.3",3,"I","cost",2542.36189670276,"2.3"
"2.4",4,"I","cost",2449.63616367974,"2.4"
"2.5",5,"I","cost",2360.15756836234,"2.5"
"2.6",6,"I","cost",2273.66018291269,"2.6"
"2.7",7,"I","cost",2190.19675669724,"2.7"
"2.8",8,"I","cost",2109.55181802189,"2.8"
"2.9",9,"I","cost",2031.7296536199,"2.9"
"2.10",10,"I","cost",1956.53801328024,"2.10"
"2.11",11,"I","cost",1883.97609783598,"2.11"
"2.12",12,"I","cost",1813.80685257711,"2.12"
"2.13",13,"I","cost",1745.99093411779,"2.13"
"2.14",14,"I","cost",1680.52762328441,"2.14"
"2.15",15,"I","cost",1617.26392815846,"2.15"
"2.16",16,"I","cost",1556.17562833671,"2.16"
"2.17",17,"I","cost",1497.04078885385,"2.17"
"2.18",18,"I","cost",1439.80746448378,"2.18"
"2.19",19,"I","cost",1384.49311983021,"2.19"
"2.20",20,"I","cost",1330.99891770596,"2.20"
"2.21",21,"I","cost",1279.1852608087,"2.21"
"2.22",22,"I","cost",1228.9833096338,"2.22"
"2.23",23,"I","cost",1180.30870262551,"2.23"
"2.24",24,"I","cost",1133.13942805699,"2.24"
"2.25",25,"I","cost",1087.30237853767,"2.25"
